Acid,Experiment,K_tilde,b,R2
TFA,acidic,9923.29,0.01,-1.04
TFA,basic,0.0,0.0,0.0
TA,acidic,9986.62,0.02,0.02
TA,basic,6.67,0.27,1.0
SA,acidic,9990.01,0.01,0.85
SA,basic,0.68,0.23,1.0
PA,acidic,11.99,0.17,0.98
NFA,acidic,9950.28,0.02,-2.24
NFA,basic,0.0,0.0,0.0
MA,acidic,4668.35,0.03,0.41
MA,basic,1.28,0.21,1.0
HPA,acidic,33.93,0.05,0.99
HPA,basic,36.75,0.08,0.99
HAc,acidic,0.69,0.37,1.0
HAc,basic,1.28,0.56,1.0
GA,acidic,4008.22,0.02,0.94
GA,basic,43.87,0.3,1.0
Boc-P,acidic,1.11,0.12,0.98
Boc-P,basic,1.15,0.03,0.99
BA,acidic,34.86,0.1,0.97
BA,basic,70.49,0.06,0.99
FBA,acidic,28.43,0.1,0.98
FBA,basic,2.97,0.27,1.0
CA,basic,0.69,0.93,0.95
BMH,acidic,0.04,0.0,-28.0
