Acid,Experiment,Acid conc (mM),FA conc (mM),acid/SBU,FA/SBU
TFA,acidic,180,45,3.02,0.38
TFA,acidic,135,90,2.88,0.48
TFA,acidic,112.5,112.5,2.86,0.44
TFA,acidic,90,135,2.96,0.56
TFA,acidic,45,180,2.76,0.7
TA,acidic,180,45,2.58,0.22
TA,acidic,135,90,2.5,0.26
TA,acidic,112.5,112.5,2.46,0.32
TA,acidic,90,135,2.36,0.36
TA,acidic,45,180,2.22,0.52
TA,basic,180,45,2.12,0.68
TA,basic,135,90,1.84,1.06
TA,basic,112.5,112.5,1.72,1.26
TA,basic,90,135,1.56,1.38
TA,basic,45,180,1.08,1.82
SA,acidic,180,45,2.84,0.6
SA,acidic,135,90,2.7,0.74
SA,acidic,112.5,112.5,2.58,0.84
SA,acidic,90,135,2.58,0.94
SA,acidic,45,180,2.24,1.1
SA,basic,180,45,1.65,2.1
SA,basic,135,90,1.2,2.6
SA,basic,112.5,112.5,0.99,2.84
SA,basic,90,135,0.83,2.9
SA,basic,45,180,0.51,3.36
PA,acidic,180,45,1.66,0.6
PA,acidic,135,90,1.4,0.88
PA,acidic,112.5,112.5,1.4,0.94
PA,acidic,90,135,1.32,1.06
PA,acidic,45,180,0.8,1.34
NFA,acidic,180,45,3.7,0.42
NFA,acidic,135,90,3.7,0.44
NFA,acidic,112.5,112.5,3.42,0.52
NFA,acidic,90,135,3.4,0.54
NFA,acidic,45,180,3.32,0.68
MA,acidic,180,45,2.17,0.12
MA,acidic,135,90,2.2,0.14
MA,acidic,112.5,112.5,1.97,0.16
MA,acidic,90,135,1.83,0.28
MA,acidic,45,180,1.89,0.5
MA,basic,180,45,1.43,1.36
MA,basic,135,90,1.09,1.8
MA,basic,112.5,112.5,1.01,1.98
MA,basic,90,135,0.9,2.26
MA,basic,45,180,0.67,2.7
HPA,acidic,180,45,2.01,1.06
HPA,acidic,135,90,1.83,1.26
HPA,acidic,112.5,112.5,1.7,1.42
HPA,acidic,90,135,1.62,1.52
HPA,acidic,45,180,1.25,1.86
HPA,basic,180,45,2.34,0.92
HPA,basic,135,90,2.17,1.24
HPA,basic,112.5,112.5,2.04,1.26
HPA,basic,90,135,1.94,1.54
HPA,basic,45,180,1.63,1.98
HAC,acidic,180,45,1.65,1.62
HAC,acidic,135,90,1.17,2.12
HAC,acidic,112.5,112.5,0.97,2.3
HAC,acidic,90,135,0.77,2.54
HAC,acidic,45,180,0.42,2.94
HAC,basic,180,45,2.34,1.04
HAC,basic,135,90,1.77,1.78
HAC,basic,112.5,112.5,1.55,1.9
HAC,basic,90,135,1.27,2.16
HAC,basic,45,180,0.76,2.9
GA,acidic,180,45,3.19,0.36
GA,acidic,135,90,2.95,0.54
GA,acidic,112.5,112.5,2.78,0.64
GA,acidic,90,135,2.71,0.82
GA,acidic,45,180,2.06,1.34
GA,basic,180,45,4.02,0.24
GA,basic,135,90,3.73,0.48
GA,basic,112.5,112.5,3.52,0.66
GA,basic,90,135,3.25,0.86
GA,basic,45,180,2.41,1.58
Boc-P,acidic,180,45,1.16,1.54
Boc-P,acidic,135,90,1.08,2.06
Boc-P,acidic,112.5,112.5,0.9,2.14
Boc-P,acidic,90,135,0.86,2.28
Boc-P,acidic,45,180,0.42,3.08
Boc-P,basic,180,45,1.11,2.02
Boc-P,basic,135,90,0.93,2.34
Boc-P,basic,112.5,112.5,0.85,2.2
Boc-P,basic,90,135,0.79,2.52
Boc-P,basic,45,180,0.55,2.94
BA,acidic,360,90,2.58,0.86
BA,acidic,270,180,2.32,1.08
BA,acidic,225,225,2.14,1.22
BA,acidic,180,270,2.01,1.48
BA,acidic,112.5,337.5,1.65,1.74
BA,acidic,90,360,1.48,1.98
BA,acidic,705,176,2.66,0.86
BA,acidic,527,352,2.41,1.06
BA,acidic,440,440,2.26,1.2
BA,acidic,352,527,2.06,1.38
BA,acidic,220,659,1.77,1.68
BA,acidic,176,705,1.55,1.9
BA,basic,180,45,2.76,0.96
BA,basic,135,90,2.53,1.22
BA,basic,112.5,112.5,2.37,1.38
BA,basic,90,135,2.29,1.44
BA,basic,45,180,1.81,1.92
FBA,acidic,180,45,2.46,0.92
FBA,acidic,135,90,2.2,1.14
FBA,acidic,112.5,112.5,2.02,1.32
FBA,acidic,90,135,1.9,1.42
FBA,acidic,45,180,1.34,1.9
FBA,basic,180,45,2.31,1.22
FBA,basic,135,90,1.94,1.7
FBA,basic,112.5,112.5,1.69,1.88
FBA,basic,90,135,1.5,2.14
FBA,basic,45,180,0.94,2.72
BMH,acidic,180,45,0.14,1.9
BMH,acidic,135,90,0.1,1.68
BMH,acidic,112.5,112.5,0.15,2.1
BMH,acidic,90,135,0.13,2.2
BMH,acidic,45,180,0.16,2.02
CA,acidic,180,45,5.6,0
CA,acidic,135,90,5.14,0
CA,acidic,112.5,112.5,4.68,0
CA,acidic,90,135,4.38,0.08
CA,acidic,45,180,2.88,0.26
