Acid,Condition,Model,KA (mM⁻¹),KF (mM⁻¹),Extra Parameters,R² (Acid),R² (Formate)
TFA,acidic,Langmuir,88.42042292188222,24.07445081030783,–,-422.12,-132.68
TFA,acidic,Flory,15.240431052826485,0.001,"rA = 10.0, rF = 0.6",-4.71,-0.19
TFA,acidic,Fowler,25.22036912441799,3.1665187586918586,"wAA = -3.1, wFF = -9.4, wAF = 9.8",-210.2,-145.11
TFA,acidic,Hill-Deboer,1.7250855188664147,0.13046489994790278,a = 9.8,-11.07,-4.1
TFA,basic,Langmuir,8.934415404872341,70.84628294522369,–,-inf,-322.88
TFA,basic,Flory,0.001,57.440593205406564,"rA = 9.9, rF = 10.0",-inf,0.86
TFA,basic,Fowler,0.30469978131353115,87.70602907551674,"wAA = -9.7, wFF = -9.8, wAF = 7.5",-inf,-181.44
TFA,basic,Hill-Deboer,0.001,6.014895841580131,a = 10.0,-inf,-0.62
TA,acidic,Langmuir,0.006837456435537657,0.001,–,-18.79,-0.2
TA,acidic,Flory,1.6362858796492432,0.0010184459602911033,"rA = 10.0, rF = 1.4",-0.06,0.71
TA,acidic,Fowler,46.65629222389361,7.131510170588892,"wAA = -4.2, wFF = -10.0, wAF = 10.0",-165.16,-254.7
TA,acidic,Hill-Deboer,0.5615565908377036,0.03754786059289472,a = 9.9,-1.65,-0.65
TA,basic,Langmuir,59.86737766528094,48.49325863966865,–,-26.67,-19.68
TA,basic,Flory,1.339074326383152,0.08307280406851031,"rA = 10.0, rF = 6.2",0.64,0.8
TA,basic,Fowler,0.18756773170925622,0.03175960197174611,"wAA = -10.0, wFF = -10.0, wAF = -2.6",-16.19,0.96
TA,basic,Hill-Deboer,0.43670644583183815,0.30573523536322256,a = 10.0,0.55,0.79
SA,acidic,Langmuir,0.008360060574654847,0.002047962371864528,–,-6.5,-1.09
SA,acidic,Flory,12.943874546461679,0.0011730310310315523,"rA = 10.0, rF = 0.1",0.1,0.01
SA,acidic,Fowler,29.627203298482716,4.985181494250085,"wAA = -5.6, wFF = -9.8, wAF = 9.7",-40.66,-56.88
SA,acidic,Hill-Deboer,1.7364542567709194,0.3359277016638984,a = 10.0,-1.55,-2.67
SA,basic,Langmuir,0.0033356177873620878,0.010723214889315607,–,0.86,0.09
SA,basic,Flory,0.0016452150114400826,85.45989835915198,"rA = 0.1, rF = 10.0",0.98,0.97
SA,basic,Fowler,1.725261848016289,18.367868367326906,"wAA = -10.0, wFF = -10.0, wAF = 4.4",-6.75,-6.57
SA,basic,Hill-Deboer,1.2760590880215048,4.62457195599147,a = 10.0,0.68,0.67
PA,acidic,Langmuir,0.00290592728255819,0.0020463063170297496,–,0.31,0.59
PA,acidic,Flory,0.1930750357484925,0.0013653082782809633,"rA = 10.0, rF = 0.1",0.69,0.65
PA,acidic,Fowler,39.00722310207261,33.19300559260116,"wAA = -6.4, wFF = -8.1, wAF = 10.0",-42.23,-58.92
PA,acidic,Hill-Deboer,0.0996848091361997,0.06500438987129797,a = 9.9,0.54,0.4
NFA,acidic,Langmuir,67.38507794192246,13.105245269572569,–,-83.06,-110.72
NFA,acidic,Flory,97.92764163005197,0.001,"rA = 9.1, rF = 0.4",0.13,-0.87
NFA,acidic,Fowler,56.609648405015804,0.668835681036035,"wAA = -10.0, wFF = -10.0, wAF = 6.4",-38.35,-115.51
NFA,acidic,Hill-Deboer,8.580424942166156,0.5239938894768333,a = 10.0,-1.71,-7.34
NFA,basic,Langmuir,10.387995400518536,79.96094788233545,–,-inf,-572.73
NFA,basic,Flory,0.001,43.887700610031125,"rA = 9.9, rF = 10.0",-inf,0.09
NFA,basic,Fowler,0.001,0.16066717217246435,"wAA = -9.8, wFF = -10.0, wAF = -10.0",-inf,-18.02
NFA,basic,Hill-Deboer,0.001,5.178895155823109,a = 10.0,-inf,-3.49
MA,acidic,Langmuir,0.004951875056277716,0.001,–,-10.4,-1.15
MA,acidic,Flory,0.3411824435848708,0.001,"rA = 10.0, rF = 2.5",-0.09,0.82
MA,acidic,Fowler,85.70913052305458,20.148259499478794,"wAA = -4.0, wFF = -9.7, wAF = 10.0",-158.9,-177.98
MA,acidic,Hill-Deboer,0.22894431166207596,0.02606547565480355,a = 9.9,-1.88,0.69
MA,basic,Langmuir,0.002558647500601871,0.005758281511907592,–,0.32,0.74
MA,basic,Flory,0.0015233056692594005,2.919364205434725,"rA = 0.1, rF = 9.9",0.62,0.99
MA,basic,Fowler,0.00726791126842391,0.03760877847527455,"wAA = -9.2, wFF = -10.0, wAF = -0.1",0.9,0.66
MA,basic,Hill-Deboer,0.2677264796873402,0.668360559563915,a = 9.9,-0.12,0.9
HPA,acidic,Langmuir,87.57129125507983,76.50834848105684,–,-47.57,-38.61
HPA,acidic,Flory,1.7811693184441544,0.07293752513492145,"rA = 10.0, rF = 5.6",-0.63,-0.45
HPA,acidic,Fowler,56.02925071068572,55.00107634884141,"wAA = -6.9, wFF = -8.8, wAF = 10.0",-31.86,-28.11
HPA,acidic,Hill-Deboer,0.5247959239294033,0.4090148717770603,a = 9.9,-0.85,-0.48
HPA,basic,Langmuir,64.83429353479652,46.99448339509695,–,-48.23,-16.07
HPA,basic,Flory,7.644856066283227,0.0019749853519712094,"rA = 10.0, rF = 0.1",-0.65,0.59
HPA,basic,Fowler,89.5905918167899,65.11779657701528,"wAA = -5.6, wFF = -8.2, wAF = 9.7",-27.28,-12.94
HPA,basic,Hill-Deboer,1.1083692456488734,0.6467027140988577,a = 9.9,-1.84,0.32
HAc,acidic,Langmuir,0.0028700721429585764,0.007383157560853959,–,0.97,0.55
HAc,acidic,Flory,0.0017928223838892057,10.504822742504322,"rA = 0.3, rF = 10.0",0.99,0.99
HAc,acidic,Fowler,0.00501981373224102,0.043390838757972894,"wAA = -2.2, wFF = -10.0, wAF = -1.8",1.0,0.99
HAc,acidic,Hill-Deboer,0.5014638050297435,1.4428762856803488,a = 9.9,0.89,0.85
HAc,basic,Langmuir,73.31219738051949,88.61339688188201,–,-6.08,-4.56
HAc,basic,Flory,0.002419803931552167,15.418483933052748,"rA = 0.1, rF = 10.0",0.97,0.98
HAc,basic,Fowler,0.035277305887537753,0.03759941063172567,"wAA = -10.0, wFF = -7.7, wAF = -6.1",1.0,0.98
HAc,basic,Hill-Deboer,1.3729164439264068,1.838601725137444,a = 9.9,0.92,0.95
GA,acidic,Langmuir,64.99688028353246,23.910519856651824,–,-17.06,-13.42
GA,acidic,Flory,23.128570032659095,0.010521588891196474,"rA = 10.0, rF = 2.7",0.96,0.97
GA,acidic,Fowler,0.11576990786991763,0.024459752179681906,"wAA = -10.0, wFF = -10.0, wAF = -8.0",0.64,0.79
GA,acidic,Hill-Deboer,2.660102854120346,0.5050020116791174,a = 10.0,0.81,0.85
GA,basic,Langmuir,0.017352828138899642,0.003179703099931119,–,0.77,0.98
GA,basic,Flory,23.826704897395143,0.5985096282182465,"rA = 7.1, rF = 5.4",1.0,1.0
GA,basic,Fowler,0.23010441741186294,0.017513225187054,"wAA = -10.0, wFF = -10.0, wAF = -4.0",0.97,0.88
GA,basic,Hill-Deboer,16.21846915106118,2.781910689533188,a = 10.0,0.99,0.99
Boc-P,acidic,Langmuir,36.32785384027555,68.86004017121537,–,-37.94,-10.8
Boc-P,acidic,Flory,0.0013713064695876028,3.206931026507622,"rA = 0.1, rF = 9.4",0.73,0.92
Boc-P,acidic,Fowler,0.006948383623795465,0.03810920142763348,"wAA = -9.1, wFF = -10.0, wAF = -2.5",0.85,0.89
Boc-P,acidic,Hill-Deboer,0.2532947445427496,0.8185397808627499,a = 9.6,-0.14,0.84
Boc-P,basic,Langmuir,0.00204771195215356,0.0072903189446794315,–,-0.52,-1.07
Boc-P,basic,Flory,0.001219017545246004,6.85524536828418,"rA = 0.1, rF = 10.0",0.31,0.74
Boc-P,basic,Fowler,15.747989275396371,58.09480662826977,"wAA = -10.0, wFF = -5.0, wAF = 9.6",-56.06,-18.18
Boc-P,basic,Hill-Deboer,0.2693192754517568,1.16004318507553,a = 10.0,-1.69,0.16
BA,acidic,Langmuir,0.005156357929435834,0.002591718385890948,–,-0.58,0.17
BA,acidic,Flory,3.9446920888255836,0.37561958304407317,"rA = 9.5, rF = 7.5",0.55,0.4
BA,acidic,Fowler,10.043254504869772,5.386912756086218,"wAA = -6.0, wFF = -7.6, wAF = 5.8",-9.79,-11.58
BA,acidic,Hill-Deboer,1.5230536485098582,0.7054827170273299,a = 9.7,0.25,0.41
BA,basic,Langmuir,0.008118902207475435,0.004173270966594016,–,-1.15,0.06
BA,basic,Flory,28.399662529072405,0.001982981320026056,"rA = 9.9, rF = 0.1",0.43,0.36
BA,basic,Fowler,22.049265554008013,6.4020925602771515,"wAA = -10.0, wFF = -10.0, wAF = 5.2",-11.2,-12.54
BA,basic,Hill-Deboer,2.6831613964057084,1.256455687845218,a = 10.0,-0.37,-0.3
FBA,acidic,Langmuir,0.005958541676601009,0.0036975557755766107,–,0.22,0.42
FBA,acidic,Flory,5.640002454744703,0.0019462035970008174,"rA = 9.9, rF = 0.1",0.77,0.56
FBA,acidic,Fowler,39.86078051872576,32.53837363865385,"wAA = -5.2, wFF = -8.3, wAF = 7.9",-11.74,-15.9
FBA,acidic,Hill-Deboer,1.0164203777042218,0.5929846123946163,a = 9.9,0.5,0.22
FBA,basic,Langmuir,86.58106836509513,97.0845965616039,–,-8.32,-7.01
FBA,basic,Flory,0.32855728892764274,12.100735801632974,"rA = 5.8, rF = 9.8",0.71,0.83
FBA,basic,Fowler,0.03946223793408042,0.04410503853727441,"wAA = -10.0, wFF = -9.7, wAF = -5.2",0.99,0.97
FBA,basic,Hill-Deboer,1.6036433961235659,1.9340496578472681,a = 9.9,0.7,0.8
CA,acidic,Langmuir,70.06486572320085,7.307015382606543,–,0.22,-63.84
CA,acidic,Flory,0.0721362402871435,24.23884754837256,"rA = 1.4, rF = 8.7",0.85,-4.11
CA,acidic,Fowler,0.010746582304628074,0.001,"wAA = 4.0, wFF = -9.9, wAF = -2.0",0.97,0.87
CA,acidic,Hill-Deboer,0.7024185706756327,0.03199103219704824,a = 3.8,0.74,-4.38
CA,basic,Langmuir,44.955127798285396,51.817081323782624,–,-557.98,-62.81
CA,basic,Flory,0.0010237532711306388,0.001,"rA = 9.5, rF = 1.1",-0.1,0.79
CA,basic,Fowler,68.63851373462619,48.09365288502617,"wAA = -9.0, wFF = -5.2, wAF = 9.4",-488.8,-54.93
CA,basic,Hill-Deboer,0.05957522451970476,0.2566065433460949,a = 9.9,-11.33,-14.22
BMH,acidic,Langmuir,24.52324318432359,67.26321136344755,–,-9002.94,-181.81
BMH,acidic,Flory,0.001,0.21194189035987734,"rA = 5.6, rF = 10.0",-15.62,-0.12
BMH,acidic,Fowler,1.366300217227625,9.543062193283859,"wAA = -9.9, wFF = -4.9, wAF = 9.8",-8536.52,-125.89
BMH,acidic,Hill-Deboer,0.026249791421953717,0.3673966175822585,a = 9.8,-71.24,-4.13
