Acid,Experiment,A,B,k
TFA,acidic,2.9992794450468523,0.4087069263781848,40.45776999248956
TFA,basic,3.6325476059195325,3.008170729221468e-08,0.005373350695796878
TA,acidic,2.558389744120831,0.20153688677302486,25.636687282991133
TA,basic,2.2642134653417827,0.6347594253941335,3.280415231933779
SA,acidic,2.8105472086538996,0.621115795327673,16.158398554244442
SA,basic,2.0456748327498198,1.7378173155392145,1.0015252413150224
PA,acidic,1.7218639153522863,0.556868158521711,3.9604201596469673
NFA,acidic,3.635947980712397,0.3919865967851392,39.51887830586814
NFA,basic,3.5601571383841057,1.7039606480019897e-10,0.00385588628342525
MA,acidic,2.1616278605788235,0.09011570516056906,18.831399338886314
MA,basic,1.8118331216445425,1.2198932344515796,1.3220775678103744
HPA,acidic,2.0614859995573713,1.0425981223543386,5.629201376644341
HPA,basic,2.447286070059244,0.962789557180423,6.132335161241606
HAc,acidic,2.1549118639085454,1.1411433606060533,0.8277335779002605
HAc,basic,2.85011906458768,0.6382662493230651,1.1967553814879193
GA,acidic,3.229689460412051,0.24783700660187205,7.297227992622578
GA,basic,4.107251040015895,0.041973560369452656,6.036039279262408
Boc-P,acidic,1.6921539494612983,1.4336843913711301,1.183433330602607
Boc-P,basic,1.2973115501362023,1.9544408640112942,2.121178162194795
BA,acidic,2.6904086421899964,0.7524434173501299,5.026002598313202
BA,basic,2.790145724179656,0.944430110639502,6.986316805305003
FBA,acidic,2.517389611834472,0.8047396971958799,4.628662333414085
FBA,basic,2.602635723346595,0.9996699359124841,1.9970421272238001
CA,acidic,4.912067508642369,2.8728751633110302e-18,16.94733387646761
CA,basic,0.7332066943932959,0.060349034435256126,0.5253596210413043
BMH,acidic,0.24137641981925984,1.8677833807363307,1.1821903201004815
