,Acid,Experiment,A,B,k,pKa,Volume,Number of Heavy Atoms,f,L,B1,B5,A+B
0,TFA,acidic,2.999279445,0.408706926,40.45776999,0.23,74.016,7,0.880073779,3.837161067,2.119826445,2.773729,3.407986371
1,TFA,basic,3.632547606,3.01E-08,0.005373351,0.23,74.016,7,0.999999992,3.837161067,2.119826445,2.773729,3.632547636
2,TA,acidic,2.558389744,0.201536887,25.63668728,3.49,122.528,9,0.926977448,6.750535021,2.050675986,4.053447711,2.759926631
3,TA,basic,2.264213465,0.634759425,3.280415232,3.49,122.528,9,0.781039889,6.750535021,2.050675986,4.053447711,2.898972891
4,SA,acidic,2.810547209,0.621115795,16.15839855,2.97,121.536,10,0.819004432,6.865940871,1.976705094,3.982123147,3.431663004
5,SA,basic,2.045674833,1.737817316,1.001525241,2.97,121.536,10,0.540684308,6.865940871,1.976705094,3.982123147,3.783492148
6,PA,acidic,1.721863915,0.556868159,3.96042016,4.48,130.672,11,0.75562368,7.719435362,1.700061381,4.40196271,2.278732074
7,NFA,acidic,3.635947981,0.391986597,39.51887831,0.4,156.632,16,0.902682978,5.662479197,2.153604117,6.42640973,4.027934577
8,NFA,basic,3.560157138,1.70E-10,0.003855886,0.4,156.632,16,1,5.662479197,2.153604117,6.42640973,3.560157139
9,MA,acidic,2.161627861,0.090115705,18.83139934,2.83,86.84,7,0.959979588,4.138746722,1.7,4.365556491,2.251743566
10,MA,basic,1.811833122,1.219893234,1.322077568,2.83,86.84,7,0.597624228,4.138746722,1.7,4.365556491,3.031726356
11,HPA,acidic,2.061486,1.042598122,5.629201377,4.75,189.648,14,0.664120532,5.328643673,1.7,10.16694071,3.104084122
12,HPA,basic,2.44728607,0.962789557,6.132335161,4.75,189.648,14,0.717663283,5.328643673,1.7,10.16694071,3.410075627
13,HAc,acidic,2.154911864,1.141143361,0.827733578,4.76,57.728,4,0.653785121,3.591054425,1.7,2.725687259,3.296055225
14,HAc,basic,2.850119065,0.638266249,1.196755381,4.76,57.728,4,0.817031035,3.591054425,1.7,2.725687259,3.488385314
15,GA,acidic,3.22968946,0.247837007,7.297227993,3.83,66.624,5,0.928731813,3.894526061,1.7,2.99843927,3.477526467
16,GA,basic,4.10725104,0.04197356,6.036039279,3.83,66.624,5,0.989883999,3.894526061,1.7,2.99843927,4.1492246
17,Boc-P,acidic,1.692153949,1.433684391,1.183433331,4.01,207.376,15,0.541344038,5.78333492,2.360542411,8.064018347,3.125838341
18,Boc-P,basic,1.29731155,1.954440864,2.121178162,4.01,207.376,15,0.398957665,5.78333492,2.360542411,8.064018347,3.251752414
19,BA,acidic,2.690408642,0.752443417,5.026002598,4.2,112.648,9,0.781447647,6.873292149,1.700427717,3.262468418,3.44285206
20,BA,basic,2.790145724,0.944430111,6.986316805,4.2,112.648,9,0.747111813,6.873292149,1.700427717,3.262468418,3.734575835
21,FBA,acidic,2.517389612,0.804739697,4.628662333,3.27,117.992,10,0.757763885,6.879204095,1.700133794,3.880428858,3.322129309
22,FBA,basic,2.602635723,0.999669936,1.997042127,3.27,117.992,10,0.72249164,6.879204095,1.700133794,3.880428858,3.602305659
23,CA,acidic,4.912067509,2.87E-18,16.94733388,1.3,131.088,10,1,4.67451995,2.02044537,5.472955787,4.912067509
24,CA,basic,0.733206694,0.060349034,0.525359621,1.3,131.088,10,0.923951107,4.67451995,2.02044537,5.472955787,0.793555729
